project,setting,n_files,score_mean,yaml_pass_rate,external_pass_rate,yaml_score_mean,external_score_mean
bootique_bootique-logback,Few-Shot,8,0.625,0.625,0.625,0.625,0.625
bric3_mockito,CIMig,2,0.0,0.0,0.0,0.0,0.0
btraceio_btrace,CIMig,2,0.0,0.0,0.0,0.0,0.0
btraceio_btrace,Zero-Shot,8,0.5,0.625,0.375,0.625,0.375
btraceio_btrace,Fine-Tuned,2,0.75,1.0,0.5,1.0,0.5
btraceio_btrace,Few-Shot,8,0.25,0.25,0.25,0.25,0.25
cdk_cdk,CIMig,2,0.0,0.0,0.0,0.0,0.0
cdk_cdk,Zero-Shot,8,0.5625,0.625,0.5,0.625,0.5
cdk_cdk,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
cdk_cdk,Few-Shot,8,0.6875,0.75,0.625,0.75,0.625
checkout_checkout-sdk-java,CIMig,2,0.0,0.0,0.0,0.0,0.0
constellation-app_constellation,CIMig,2,0.0,0.0,0.0,0.0,0.0
constellation-app_constellation,Zero-Shot,8,0.3125,0.375,0.25,0.375,0.25
constellation-app_constellation,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
constellation-app_constellation,Few-Shot,8,0.375,0.5,0.25,0.5,0.25
criteo_cassandra_exporter,CIMig,2,0.0,0.0,0.0,0.0,0.0
cronn_ssh-proxy,CIMig,2,0.0,0.0,0.0,0.0,0.0
cryptomator_dokany-nio-adapter,CIMig,2,0.0,0.0,0.0,0.0,0.0
cryptomator_dokany-nio-adapter,Zero-Shot,8,0.125,0.125,0.125,0.125,0.125
cryptomator_dokany-nio-adapter,Fine-Tuned,2,0.75,1.0,0.5,1.0,0.5
cryptomator_dokany-nio-adapter,Few-Shot,8,0.4375,0.5,0.375,0.5,0.375
devaneios-ifsp_turma-de-elite-backend,CIMig,2,0.25,0.5,0.0,0.5,0.0
devaneios-ifsp_turma-de-elite-backend,Zero-Shot,8,0.75,0.75,0.75,0.75,0.75
devaneios-ifsp_turma-de-elite-backend,Fine-Tuned,2,0.75,1.0,0.5,1.0,0.5
devaneios-ifsp_turma-de-elite-backend,Few-Shot,8,0.6875,0.75,0.625,0.75,0.625
dhatim_safesql,CIMig,2,0.0,0.0,0.0,0.0,0.0
dhatim_safesql,Zero-Shot,8,0.5625,0.625,0.5,0.625,0.5
dhatim_safesql,Fine-Tuned,2,0.5,0.5,0.5,0.5,0.5
dhatim_safesql,Few-Shot,8,0.5625,0.625,0.5,0.625,0.5
dlsc-software-consulting-gmbh_GemsFX,CIMig,2,0.0,0.0,0.0,0.0,0.0
dlsc-software-consulting-gmbh_GemsFX,Zero-Shot,8,0.4375,0.5,0.375,0.5,0.375
dlsc-software-consulting-gmbh_GemsFX,Fine-Tuned,2,0.75,1.0,0.5,1.0,0.5
dlsc-software-consulting-gmbh_GemsFX,Few-Shot,8,0.375,0.5,0.25,0.5,0.25
dogtagpki_jss,CIMig,2,0.0,0.0,0.0,0.0,0.0
dogtagpki_jss,Zero-Shot,8,0.5,0.625,0.375,0.625,0.375
dogtagpki_jss,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
dogtagpki_jss,Few-Shot,8,0.625,0.75,0.5,0.75,0.5
dschadow_CloudSecurity,CIMig,2,0.0,0.0,0.0,0.0,0.0
eclipse_lemminx,CIMig,2,0.0,0.0,0.0,0.0,0.0
eclipse_lemminx,Zero-Shot,8,0.5,0.625,0.375,0.625,0.375
eclipse_lemminx,Few-Shot,8,0.625,0.75,0.5,0.75,0.5
elixir-cloud-aai_tesk-api,CIMig,2,0.0,0.0,0.0,0.0,0.0
elixir-cloud-aai_tesk-api,Zero-Shot,8,0.5625,0.625,0.5,0.625,0.5
elixir-cloud-aai_tesk-api,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
elixir-cloud-aai_tesk-api,Few-Shot,8,0.6875,0.75,0.625,0.75,0.625
encircled_Joiner,CIMig,2,0.0,0.0,0.0,0.0,0.0
encircled_Joiner,Zero-Shot,8,0.875,0.875,0.875,0.875,0.875
encircled_Joiner,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
encircled_Joiner,Few-Shot,8,0.5625,0.625,0.5,0.625,0.5
feedzai_feedzai-openml,CIMig,2,0.0,0.0,0.0,0.0,0.0
feedzai_feedzai-openml,Zero-Shot,8,0.4375,0.5,0.375,0.5,0.375
feedzai_feedzai-openml,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
feedzai_feedzai-openml,Few-Shot,8,0.625,0.75,0.5,0.75,0.5
fiji_Cell_Counter,CIMig,2,0.25,0.5,0.0,0.5,0.0
fiji_Cell_Counter,Zero-Shot,8,0.5,0.625,0.375,0.625,0.375
fiji_Cell_Counter,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
fiji_Cell_Counter,Few-Shot,8,0.6875,0.75,0.625,0.75,0.625
fiji_KymographBuilder,CIMig,2,0.0,0.0,0.0,0.0,0.0
fiji_KymographBuilder,Zero-Shot,8,0.4375,0.625,0.25,0.625,0.25
fiji_KymographBuilder,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
fiji_KymographBuilder,Few-Shot,8,0.6875,0.75,0.625,0.75,0.625
fiji_SPIM_Registration,CIMig,2,0.25,0.5,0.0,0.5,0.0
fiji_SPIM_Registration,Zero-Shot,8,0.5,0.625,0.375,0.625,0.375
fiji_SPIM_Registration,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
fiji_SPIM_Registration,Few-Shot,8,0.625,0.75,0.5,0.75,0.5
fiji_VIB-lib,CIMig,2,0.0,0.0,0.0,0.0,0.0
fiji_VIB-lib,Zero-Shot,8,0.4375,0.625,0.25,0.625,0.25
fiji_VIB-lib,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
fiji_VIB-lib,Few-Shot,8,0.6875,0.75,0.625,0.75,0.625
fiji_cookbook,CIMig,2,0.0,0.0,0.0,0.0,0.0
fiji_cookbook,Zero-Shot,8,0.5,0.625,0.375,0.625,0.375
fiji_cookbook,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
fiji_cookbook,Few-Shot,8,0.6875,0.75,0.625,0.75,0.625
fiji_pQCT,CIMig,2,0.0,0.0,0.0,0.0,0.0
fiji_pQCT,Zero-Shot,8,0.6875,0.75,0.625,0.75,0.625
fiji_pQCT,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
fiji_pQCT,Few-Shot,8,0.5,0.5,0.5,0.5,0.5
future-architect_uroborosql,CIMig,2,0.0,0.0,0.0,0.0,0.0
future-architect_uroborosql,Zero-Shot,8,0.625,0.75,0.5,0.75,0.5
future-architect_uroborosql,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
future-architect_uroborosql,Few-Shot,8,0.375,0.375,0.375,0.375,0.375
gayanvoice_android-vpn-client-ics-openvpn,CIMig,2,0.5,0.5,0.5,0.5,0.5
gayanvoice_android-vpn-client-ics-openvpn,Zero-Shot,8,0.625,0.75,0.5,0.75,0.5
gayanvoice_android-vpn-client-ics-openvpn,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
gayanvoice_android-vpn-client-ics-openvpn,Few-Shot,8,0.75,0.75,0.75,0.75,0.75
gessnerfl_rabbitmq-queue-management,CIMig,2,0.0,0.0,0.0,0.0,0.0
gessnerfl_rabbitmq-queue-management,Zero-Shot,8,0.625,0.625,0.625,0.625,0.625
gessnerfl_rabbitmq-queue-management,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
gessnerfl_rabbitmq-queue-management,Few-Shot,8,0.625,0.75,0.5,0.75,0.5
getgauge_gauge-gradle-plugin,CIMig,2,0.5,0.5,0.5,0.5,0.5
gliwka_hyperscan-java,CIMig,2,0.0,0.0,0.0,0.0,0.0
gotify_android,CIMig,2,0.0,0.0,0.0,0.0,0.0
gotify_android,Zero-Shot,8,0.5625,0.75,0.375,0.75,0.375
gotify_android,Fine-Tuned,2,0.5,0.5,0.5,0.5,0.5
gotify_android,Few-Shot,8,0.4375,0.5,0.375,0.5,0.375
gwtproject_gwt-window,CIMig,2,0.0,0.0,0.0,0.0,0.0
h2database_h2database,CIMig,2,0.0,0.0,0.0,0.0,0.0
hank-cp_sbp,CIMig,2,0.0,0.0,0.0,0.0,0.0
heremaps_here-aaa-java-sdk,CIMig,2,0.0,0.0,0.0,0.0,0.0
hmcts_ccpay-payment-app,CIMig,2,0.0,0.0,0.0,0.0,0.0
hmcts_ccpay-payment-app,Zero-Shot,8,0.4375,0.5,0.375,0.5,0.375
hmcts_ccpay-payment-app,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
hmcts_ccpay-payment-app,Few-Shot,8,0.625,0.75,0.5,0.75,0.5
httptoolkit_httptoolkit-android,CIMig,2,0.0,0.0,0.0,0.0,0.0
hugegraph_hugegraph-client,CIMig,2,0.25,0.5,0.0,0.5,0.0
ibissource_iaf,CIMig,2,0.0,0.0,0.0,0.0,0.0
ibissource_iaf,Zero-Shot,8,0.5,0.5,0.5,0.5,0.5
ibissource_iaf,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
ibissource_iaf,Few-Shot,8,0.5625,0.75,0.375,0.75,0.375
ical4j_ical4j-connector,CIMig,2,0.0,0.0,0.0,0.0,0.0
ical4j_ical4j-connector,Zero-Shot,8,0.5,0.5,0.5,0.5,0.5
ical4j_ical4j-connector,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
ical4j_ical4j-connector,Few-Shot,8,0.625,0.625,0.625,0.625,0.625
igniterealtime_openfire-xmldebugger-plugin,CIMig,2,0.25,0.5,0.0,0.5,0.0
igniterealtime_openfire-xmldebugger-plugin,Zero-Shot,8,0.625,0.75,0.5,0.75,0.5
igniterealtime_openfire-xmldebugger-plugin,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
igniterealtime_openfire-xmldebugger-plugin,Few-Shot,8,0.625,0.75,0.5,0.75,0.5
image-transform-converters_image-transform-converters,CIMig,2,0.0,0.0,0.0,0.0,0.0
imglib_imglib2,CIMig,2,0.0,0.0,0.0,0.0,0.0
imglib_imglib2,Zero-Shot,8,0.5625,0.625,0.5,0.625,0.5
imglib_imglib2,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
imglib_imglib2,Few-Shot,8,0.5,0.5,0.5,0.5,0.5
imglib_imglib2-realtransform,CIMig,2,0.0,0.0,0.0,0.0,0.0
imglib_imglib2-roi,CIMig,2,0.0,0.0,0.0,0.0,0.0
imglib_imglib2-tutorials,CIMig,2,0.0,0.0,0.0,0.0,0.0
imglib_imglib2-tutorials,Zero-Shot,8,0.5,0.625,0.375,0.625,0.375
imglib_imglib2-tutorials,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
imglib_imglib2-tutorials,Few-Shot,8,0.625,0.75,0.5,0.75,0.5
inferno-framework_fhir-validator-wrapper,CIMig,2,0.0,0.0,0.0,0.0,0.0
inferno-framework_fhir-validator-wrapper,Zero-Shot,8,0.4375,0.5,0.375,0.5,0.375
inferno-framework_fhir-validator-wrapper,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
inferno-framework_fhir-validator-wrapper,Few-Shot,8,0.5,0.625,0.375,0.625,0.375
io7m_changelog,CIMig,2,0.0,0.0,0.0,0.0,0.0
io7m_jcamera,CIMig,2,0.0,0.0,0.0,0.0,0.0
io7m_jcamera,Zero-Shot,8,0.75,0.75,0.75,0.75,0.75
io7m_jcamera,Fine-Tuned,2,0.75,1.0,0.5,1.0,0.5
io7m_jcamera,Few-Shot,8,0.5,0.5,0.5,0.5,0.5
io7m_jeucreader,CIMig,2,0.0,0.0,0.0,0.0,0.0
io7m_jmurmur,CIMig,2,0.0,0.0,0.0,0.0,0.0
io7m_jmurmur,Zero-Shot,8,0.75,0.75,0.75,0.75,0.75
io7m_jmurmur,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
io7m_jmurmur,Few-Shot,8,0.5625,0.625,0.5,0.625,0.5
io7m_jproperties,CIMig,2,0.0,0.0,0.0,0.0,0.0
io7m_jproperties,Zero-Shot,8,0.5625,0.625,0.5,0.625,0.5
io7m_jproperties,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
io7m_jproperties,Few-Shot,8,0.6875,0.75,0.625,0.75,0.625
io7m_jsx,CIMig,2,0.0,0.0,0.0,0.0,0.0
io7m_jsx,Zero-Shot,8,0.5625,0.625,0.5,0.625,0.5
io7m_jsx,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
io7m_jsx,Few-Shot,8,0.6875,0.75,0.625,0.75,0.625
ipregistry_ipregistry-java,CIMig,2,0.0,0.0,0.0,0.0,0.0
ipregistry_ipregistry-java,Zero-Shot,8,0.625,0.625,0.625,0.625,0.625
ipregistry_ipregistry-java,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
ipregistry_ipregistry-java,Few-Shot,8,0.625,0.625,0.625,0.625,0.625
jakubplichta_git-changelog-maven-plugin,CIMig,2,0.0,0.0,0.0,0.0,0.0
jakubplichta_git-changelog-maven-plugin,Zero-Shot,8,0.6875,0.75,0.625,0.75,0.625
jakubplichta_git-changelog-maven-plugin,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
jakubplichta_git-changelog-maven-plugin,Few-Shot,8,0.625,0.625,0.625,0.625,0.625
jbee_silk,CIMig,2,0.5,0.5,0.5,0.5,0.5
jbee_silk,Zero-Shot,8,0.875,1.0,0.75,1.0,0.75
jbee_silk,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
jbee_silk,Few-Shot,8,0.5625,0.625,0.5,0.625,0.5
jboss_tyr,CIMig,2,0.0,0.0,0.0,0.0,0.0
jboss_tyr,Zero-Shot,8,0.8125,0.875,0.75,0.875,0.75
jboss_tyr,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
jboss_tyr,Few-Shot,8,0.75,0.75,0.75,0.75,0.75
jenkinsci_jira-plugin,CIMig,2,0.0,0.0,0.0,0.0,0.0
jenkinsci_jira-plugin,Zero-Shot,8,0.375,0.5,0.25,0.5,0.25
jenkinsci_jira-plugin,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
jenkinsci_jira-plugin,Few-Shot,8,0.25,0.25,0.25,0.25,0.25
jeremylong_DependencyCheck,CIMig,2,0.25,0.5,0.0,0.5,0.0
jeremylong_DependencyCheck,Zero-Shot,8,0.4375,0.625,0.25,0.625,0.25
jeremylong_DependencyCheck,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
jeremylong_DependencyCheck,Few-Shot,8,0.5,0.625,0.375,0.625,0.375
jnidzwetzki_bboxdb,CIMig,2,0.0,0.0,0.0,0.0,0.0
jnidzwetzki_bboxdb,Zero-Shot,8,0.625,0.625,0.625,0.625,0.625
jnidzwetzki_bboxdb,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
jnidzwetzki_bboxdb,Few-Shot,8,0.5625,0.625,0.5,0.625,0.5
jonashackt_traefik-cache-nginx-spring-boot,CIMig,2,0.25,0.5,0.0,0.5,0.0
jpmml_jpmml-evaluator,CIMig,2,0.0,0.0,0.0,0.0,0.0
juglab_labkit-pixel-classification,CIMig,2,0.0,0.0,0.0,0.0,0.0
junit-team_junit5,CIMig,2,0.0,0.0,0.0,0.0,0.0
junit-team_junit5,Zero-Shot,8,0.75,0.875,0.625,0.875,0.625
junit-team_junit5,Fine-Tuned,2,0.75,1.0,0.5,1.0,0.5
junit-team_junit5,Few-Shot,8,0.375,0.5,0.25,0.5,0.25
justdave_MCStatus,CIMig,2,0.0,0.0,0.0,0.0,0.0
jwtk_jjwt,CIMig,2,0.0,0.0,0.0,0.0,0.0
jwtk_jjwt,Zero-Shot,8,0.5625,0.75,0.375,0.75,0.375
jwtk_jjwt,Fine-Tuned,2,0.75,1.0,0.5,1.0,0.5
jwtk_jjwt,Few-Shot,8,0.6875,0.75,0.625,0.75,0.625
kaklakariada_portmapper,CIMig,2,0.0,0.0,0.0,0.0,0.0
kaklakariada_portmapper,Zero-Shot,8,0.625,0.625,0.625,0.625,0.625
kaklakariada_portmapper,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
kaklakariada_portmapper,Few-Shot,8,0.625,0.625,0.625,0.625,0.625
kingjon3377_strategicprimer-viewer,CIMig,2,0.25,0.5,0.0,0.5,0.0
knowm_Yank,CIMig,2,0.0,0.0,0.0,0.0,0.0
knowm_Yank,Zero-Shot,8,0.6875,0.875,0.5,0.875,0.5
knowm_Yank,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
knowm_Yank,Few-Shot,8,0.5,0.625,0.375,0.625,0.375
komamitsu_fluency,CIMig,2,0.0,0.0,0.0,0.0,0.0
komoot_photon,CIMig,2,0.0,0.0,0.0,0.0,0.0
komoot_photon,Zero-Shot,8,0.8125,0.875,0.75,0.875,0.75
komoot_photon,Fine-Tuned,2,0.75,1.0,0.5,1.0,0.5
komoot_photon,Few-Shot,8,0.5625,0.625,0.5,0.625,0.5
kordamp_ikonli,CIMig,2,0.5,0.5,0.5,0.5,0.5
kordamp_ikonli,Zero-Shot,8,0.4375,0.5,0.375,0.5,0.375
kordamp_ikonli,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
kordamp_ikonli,Few-Shot,8,0.75,0.75,0.75,0.75,0.75
kryptokrauts_aepp-sdk-java,CIMig,2,0.0,0.0,0.0,0.0,0.0
kryptokrauts_aepp-sdk-java,Zero-Shot,8,0.6875,0.75,0.625,0.75,0.625
kryptokrauts_aepp-sdk-java,Fine-Tuned,2,0.5,0.5,0.5,0.5,0.5
kryptokrauts_aepp-sdk-java,Few-Shot,8,0.6875,0.75,0.625,0.75,0.625
lessthanoptimal_BoofCV,CIMig,2,0.0,0.0,0.0,0.0,0.0
line_decaton,CIMig,2,0.0,0.0,0.0,0.0,0.0
line_decaton,Zero-Shot,8,0.5625,0.625,0.5,0.625,0.5
line_decaton,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
line_decaton,Few-Shot,8,0.5625,0.625,0.5,0.625,0.5
linkedin_avro-util,CIMig,2,0.0,0.0,0.0,0.0,0.0
linkedin_avro-util,Zero-Shot,8,0.625,0.75,0.5,0.75,0.5
linkedin_avro-util,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
linkedin_avro-util,Few-Shot,8,0.5,0.625,0.375,0.625,0.375
mamewotoko_podplayer,CIMig,2,0.0,0.0,0.0,0.0,0.0
mate-academy_hibernate-configuration-hw,CIMig,2,0.0,0.0,0.0,0.0,0.0
mate-academy_hibernate-configuration-hw,Zero-Shot,8,0.5625,0.625,0.5,0.625,0.5
mate-academy_hibernate-configuration-hw,Few-Shot,8,0.6875,0.75,0.625,0.75,0.625
mendhak_gpslogger,CIMig,2,0.0,0.0,0.0,0.0,0.0
mendhak_gpslogger,Zero-Shot,8,0.5625,0.75,0.375,0.75,0.375
mendhak_gpslogger,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
mendhak_gpslogger,Few-Shot,8,0.5,0.5,0.5,0.5,0.5
messaginghub_pooled-jms,CIMig,2,0.0,0.0,0.0,0.0,0.0
michaelliao_itranswarp,CIMig,2,0.0,0.0,0.0,0.0,0.0
michaelliao_itranswarp,Zero-Shot,8,0.75,0.75,0.75,0.75,0.75
michaelliao_itranswarp,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
michaelliao_itranswarp,Few-Shot,8,0.625,0.625,0.625,0.625,0.625
micheljung_nocatch,CIMig,2,0.0,0.0,0.0,0.0,0.0
micheljung_nocatch,Zero-Shot,8,0.5625,0.625,0.5,0.625,0.5
micheljung_nocatch,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
micheljung_nocatch,Few-Shot,8,0.5625,0.625,0.5,0.625,0.5
miho_VTCC,CIMig,2,0.0,0.0,0.0,0.0,0.0
miho_VTCC,Zero-Shot,8,0.6875,0.75,0.625,0.75,0.625
miho_VTCC,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
miho_VTCC,Few-Shot,8,0.625,0.625,0.625,0.625,0.625
