project,setting,n_files,score_mean,yaml_pass_rate,external_pass_rate,yaml_score_mean,external_score_mean
miho_VWorkflows,CIMig,2,0.0,0.0,0.0,0.0,0.0
minio_minio-java,CIMig,2,0.5,0.5,0.5,0.5,0.5
minio_minio-java,Zero-Shot,8,0.6875,0.75,0.625,0.75,0.625
minio_minio-java,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
minio_minio-java,Few-Shot,8,0.4375,0.5,0.375,0.5,0.375
mixpanel_mixpanel-android,CIMig,2,0.0,0.0,0.0,0.0,0.0
msmobility_silo,CIMig,2,0.0,0.0,0.0,0.0,0.0
msmobility_silo,Zero-Shot,8,0.375,0.375,0.375,0.375,0.375
msmobility_silo,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
msmobility_silo,Few-Shot,8,0.4375,0.5,0.375,0.5,0.375
neo4j-contrib_neo4j-jdbc,CIMig,2,0.0,0.0,0.0,0.0,0.0
neo4j-contrib_neo4j-jdbc,Zero-Shot,8,0.6875,0.75,0.625,0.75,0.625
neo4j-contrib_neo4j-jdbc,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
neo4j-contrib_neo4j-jdbc,Few-Shot,8,0.625,0.625,0.625,0.625,0.625
nhl_dflib,CIMig,2,0.0,0.0,0.0,0.0,0.0
nhl_dflib,Zero-Shot,8,0.625,0.75,0.5,0.75,0.5
nhl_dflib,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
nhl_dflib,Few-Shot,8,0.5625,0.625,0.5,0.625,0.5
nkonev_blog,CIMig,2,0.0,0.0,0.0,0.0,0.0
nkonev_blog,Zero-Shot,8,0.4375,0.5,0.375,0.5,0.375
nkonev_blog,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
nkonev_blog,Few-Shot,8,0.4375,0.5,0.375,0.5,0.375
nsoft_jesterj,CIMig,2,0.0,0.0,0.0,0.0,0.0
nsoft_jesterj,Zero-Shot,8,0.4375,0.5,0.375,0.5,0.375
nsoft_jesterj,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
nsoft_jesterj,Few-Shot,8,0.75,0.75,0.75,0.75,0.75
nutzam_nutzboot,CIMig,2,0.0,0.0,0.0,0.0,0.0
open-keychain_open-keychain,CIMig,2,0.0,0.0,0.0,0.0,0.0
opencadc_cadc-target-resolver,CIMig,2,0.0,0.0,0.0,0.0,0.0
opencadc_cadc-target-resolver,Zero-Shot,8,0.25,0.375,0.125,0.375,0.125
opencadc_cadc-target-resolver,Fine-Tuned,2,0.75,1.0,0.5,1.0,0.5
opencadc_cadc-target-resolver,Few-Shot,8,0.375,0.5,0.25,0.5,0.25
opencadc_vos,CIMig,2,0.0,0.0,0.0,0.0,0.0
oracle_opengrok,CIMig,2,0.0,0.0,0.0,0.0,0.0
orien_bean-matchers,CIMig,2,0.0,0.0,0.0,0.0,0.0
orien_bean-matchers,Zero-Shot,8,0.8125,0.875,0.75,0.875,0.75
orien_bean-matchers,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
orien_bean-matchers,Few-Shot,8,0.75,0.75,0.75,0.75,0.75
otavanopisto_muikku,CIMig,2,0.0,0.0,0.0,0.0,0.0
otavanopisto_muikku,Zero-Shot,8,0.5625,0.625,0.5,0.625,0.5
otavanopisto_muikku,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
otavanopisto_muikku,Few-Shot,8,0.5625,0.625,0.5,0.625,0.5
otto-de_synapse,CIMig,2,0.0,0.0,0.0,0.0,0.0
otto-de_synapse,Zero-Shot,8,0.3125,0.375,0.25,0.375,0.25
otto-de_synapse,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
otto-de_synapse,Few-Shot,8,0.25,0.375,0.125,0.375,0.125
parse-community_Parse-SDK-Android,CIMig,2,0.0,0.0,0.0,0.0,0.0
parse-community_Parse-SDK-Android,Zero-Shot,8,0.5,0.625,0.375,0.625,0.375
parse-community_Parse-SDK-Android,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
parse-community_Parse-SDK-Android,Few-Shot,8,0.5625,0.625,0.5,0.625,0.5
phisix-org_phisix,CIMig,2,0.25,0.5,0.0,0.5,0.0
playframework_play1,CIMig,2,0.0,0.0,0.0,0.0,0.0
playframework_play1,Zero-Shot,8,0.9375,1.0,0.875,1.0,0.875
playframework_play1,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
playframework_play1,Few-Shot,8,0.75,0.75,0.75,0.75,0.75
portingle_slf4jtesting,CIMig,2,0.0,0.0,0.0,0.0,0.0
primefaces-extensions_primefaces-integration-tests,CIMig,2,0.0,0.0,0.0,0.0,0.0
primefaces-extensions_primefaces-integration-tests,Zero-Shot,8,0.75,0.875,0.625,0.875,0.625
primefaces-extensions_primefaces-integration-tests,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
primefaces-extensions_primefaces-integration-tests,Few-Shot,8,0.5,0.625,0.375,0.625,0.375
princesslana_smalld,CIMig,2,0.0,0.0,0.0,0.0,0.0
princesslana_smalld,Zero-Shot,8,0.75,0.75,0.75,0.75,0.75
princesslana_smalld,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
princesslana_smalld,Few-Shot,8,0.4375,0.5,0.375,0.5,0.375
proofpoint_platform,CIMig,2,0.0,0.0,0.0,0.0,0.0
pulumi_pulumi-kubernetes,CIMig,2,0.0,0.0,0.0,0.0,0.0
qlefevre_crud-admin-spring-boot-starter,CIMig,2,0.0,0.0,0.0,0.0,0.0
qlefevre_crud-admin-spring-boot-starter,Zero-Shot,8,0.6875,0.75,0.625,0.75,0.625
qlefevre_crud-admin-spring-boot-starter,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
qlefevre_crud-admin-spring-boot-starter,Few-Shot,8,0.5625,0.625,0.5,0.625,0.5
qos-ch_slf4j,CIMig,2,0.0,0.0,0.0,0.0,0.0
qos-ch_slf4j,Zero-Shot,8,0.6875,0.75,0.625,0.75,0.625
qos-ch_slf4j,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
qos-ch_slf4j,Few-Shot,8,0.5,0.625,0.375,0.625,0.375
querydsl_querydsl,CIMig,2,0.0,0.0,0.0,0.0,0.0
rabbitmq_hop,CIMig,2,0.0,0.0,0.0,0.0,0.0
radixdlt_radixdlt,CIMig,2,0.0,0.0,0.0,0.0,0.0
radixdlt_radixdlt,Zero-Shot,8,0.5625,0.625,0.5,0.625,0.5
radixdlt_radixdlt,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
radixdlt_radixdlt,Few-Shot,8,0.6875,0.75,0.625,0.75,0.625
ralscha_wamp2spring,CIMig,2,0.5,0.5,0.5,0.5,0.5
ralscha_xodus-queue,CIMig,2,0.0,0.0,0.0,0.0,0.0
ralscha_xodus-queue,Zero-Shot,8,0.75,0.75,0.75,0.75,0.75
ralscha_xodus-queue,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
ralscha_xodus-queue,Few-Shot,8,0.6875,0.75,0.625,0.75,0.625
reaktivity_nukleus-http.java,CIMig,2,0.0,0.0,0.0,0.0,0.0
reaktivity_nukleus-http.java,Zero-Shot,8,0.5625,0.625,0.5,0.625,0.5
reaktivity_nukleus-http.java,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
reaktivity_nukleus-http.java,Few-Shot,8,0.4375,0.5,0.375,0.5,0.375
reaktivity_nukleus-maven-plugin,CIMig,2,0.0,0.0,0.0,0.0,0.0
reaktivity_nukleus-maven-plugin,Zero-Shot,8,0.6875,0.75,0.625,0.75,0.625
reaktivity_nukleus-maven-plugin,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
reaktivity_nukleus-maven-plugin,Few-Shot,8,0.6875,0.75,0.625,0.75,0.625
reaktivity_nukleus-tcp.spec,CIMig,2,0.0,0.0,0.0,0.0,0.0
reaktivity_nukleus-tcp.spec,Zero-Shot,8,0.6875,0.75,0.625,0.75,0.625
reaktivity_nukleus-tcp.spec,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
reaktivity_nukleus-tcp.spec,Few-Shot,8,0.6875,0.75,0.625,0.75,0.625
redhat-developer_quarkus-ls,CIMig,2,0.0,0.0,0.0,0.0,0.0
redhat-developer_quarkus-ls,Zero-Shot,8,0.6875,0.75,0.625,0.75,0.625
redhat-developer_quarkus-ls,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
redhat-developer_quarkus-ls,Few-Shot,8,0.6875,0.75,0.625,0.75,0.625
redisson_redisson,CIMig,2,0.0,0.0,0.0,0.0,0.0
renyuneyun_Easer,CIMig,2,0.0,0.0,0.0,0.0,0.0
renyuneyun_Easer,Zero-Shot,8,0.625,0.75,0.5,0.75,0.5
renyuneyun_Easer,Fine-Tuned,2,0.75,1.0,0.5,1.0,0.5
renyuneyun_Easer,Few-Shot,8,0.625,0.75,0.5,0.75,0.5
riboseinc_aws-codecommit-trigger-plugin,CIMig,2,0.0,0.0,0.0,0.0,0.0
ron190_jsql-injection,CIMig,2,0.0,0.0,0.0,0.0,0.0
saucelabs_ci-sauce,CIMig,2,0.0,0.0,0.0,0.0,0.0
saucelabs_ci-sauce,Zero-Shot,8,0.625,0.625,0.625,0.625,0.625
saucelabs_ci-sauce,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
saucelabs_ci-sauce,Few-Shot,8,0.625,0.625,0.625,0.625,0.625
sbt_junit-interface,CIMig,2,0.0,0.0,0.0,0.0,0.0
scijava_scripting-groovy,CIMig,2,0.0,0.0,0.0,0.0,0.0
selenide_selenide,CIMig,2,0.0,0.0,0.0,0.0,0.0
selenide_selenide,Zero-Shot,8,0.6875,0.75,0.625,0.75,0.625
selenide_selenide,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
selenide_selenide,Few-Shot,8,0.625,0.75,0.5,0.75,0.5
silaev_mongodb-replica-set,CIMig,2,0.0,0.0,0.0,0.0,0.0
sizovs_PipelinR,CIMig,2,0.0,0.0,0.0,0.0,0.0
sizovs_PipelinR,Zero-Shot,8,0.75,0.75,0.75,0.75,0.75
sizovs_PipelinR,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
sizovs_PipelinR,Few-Shot,8,0.75,0.75,0.75,0.75,0.75
sniffy_sniffy,CIMig,2,0.0,0.0,0.0,0.0,0.0
societe-generale_arch-unit-build-plugin-core,CIMig,2,0.0,0.0,0.0,0.0,0.0
societe-generale_arch-unit-build-plugin-core,Zero-Shot,8,0.75,0.875,0.625,0.875,0.625
societe-generale_arch-unit-build-plugin-core,Fine-Tuned,2,0.75,1.0,0.5,1.0,0.5
societe-generale_arch-unit-build-plugin-core,Few-Shot,8,0.6875,0.75,0.625,0.75,0.625
sockeqwe_AdapterDelegates,CIMig,2,0.0,0.0,0.0,0.0,0.0
sockeqwe_AdapterDelegates,Zero-Shot,8,0.625,0.625,0.625,0.625,0.625
sockeqwe_AdapterDelegates,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
sockeqwe_AdapterDelegates,Few-Shot,8,0.6875,0.75,0.625,0.75,0.625
sofastack_sofa-bolt,CIMig,2,0.0,0.0,0.0,0.0,0.0
sofastack_sofa-bolt,Zero-Shot,8,0.625,0.625,0.625,0.625,0.625
sofastack_sofa-bolt,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
sofastack_sofa-bolt,Few-Shot,8,0.6875,0.75,0.625,0.75,0.625
sofastack_sofa-registry,CIMig,2,0.0,0.0,0.0,0.0,0.0
sofastack_sofa-registry,Zero-Shot,8,0.75,0.75,0.75,0.75,0.75
sofastack_sofa-registry,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
sofastack_sofa-registry,Few-Shot,8,0.625,0.625,0.625,0.625,0.625
spigotplugins_fakeplayer,CIMig,2,0.0,0.0,0.0,0.0,0.0
spigotplugins_fakeplayer,Zero-Shot,8,0.625,0.625,0.625,0.625,0.625
spigotplugins_fakeplayer,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
spigotplugins_fakeplayer,Few-Shot,8,0.6875,0.75,0.625,0.75,0.625
splitio_android-client,CIMig,2,0.0,0.0,0.0,0.0,0.0
splitio_android-client,Zero-Shot,8,0.6875,0.75,0.625,0.75,0.625
splitio_android-client,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
splitio_android-client,Few-Shot,8,0.75,0.75,0.75,0.75,0.75
spring-cloud_spring-cloud-zookeeper,CIMig,2,0.0,0.0,0.0,0.0,0.0
spring-cloud_spring-cloud-zookeeper,Zero-Shot,8,0.5,0.5,0.5,0.5,0.5
spring-cloud_spring-cloud-zookeeper,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
spring-cloud_spring-cloud-zookeeper,Few-Shot,8,0.6875,0.75,0.625,0.75,0.625
spring-labs_org.openwms.services,CIMig,2,0.0,0.0,0.0,0.0,0.0
sqlancer_sqlancer,CIMig,2,0.0,0.0,0.0,0.0,0.0
starnowski_bmunit-extension,CIMig,2,0.0,0.0,0.0,0.0,0.0
t1_logging-interceptor,CIMig,2,0.0,0.0,0.0,0.0,0.0
tanersener_smart-exception,CIMig,2,0.0,0.0,0.0,0.0,0.0
tanersener_smart-exception,Zero-Shot,8,0.6875,0.75,0.625,0.75,0.625
tanersener_smart-exception,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
tanersener_smart-exception,Few-Shot,8,0.6875,0.75,0.625,0.75,0.625
tdebatty_java-string-similarity,CIMig,2,0.0,0.0,0.0,0.0,0.0
tdebatty_java-string-similarity,Zero-Shot,8,0.6875,0.75,0.625,0.75,0.625
tdebatty_java-string-similarity,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
tdebatty_java-string-similarity,Few-Shot,8,0.75,0.75,0.75,0.75,0.75
tdf_odftoolkit,CIMig,2,0.0,0.0,0.0,0.0,0.0
tdf_odftoolkit,Zero-Shot,8,0.875,0.875,0.875,0.875,0.875
tdf_odftoolkit,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
tdf_odftoolkit,Few-Shot,8,0.75,0.75,0.75,0.75,0.75
teverett_jvmBASIC,CIMig,2,0.0,0.0,0.0,0.0,0.0
thepieterdc_dodona-plugin-jetbrains,CIMig,2,0.5,0.5,0.5,0.5,0.5
thepieterdc_dodona-plugin-jetbrains,Zero-Shot,8,0.8125,0.875,0.75,0.875,0.75
thepieterdc_dodona-plugin-jetbrains,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
thepieterdc_dodona-plugin-jetbrains,Few-Shot,8,0.75,0.75,0.75,0.75,0.75
tomtom-international_james,CIMig,2,0.0,0.0,0.0,0.0,0.0
tonivade_zeromock,CIMig,2,0.0,0.0,0.0,0.0,0.0
tsandmann_ct-sim,CIMig,2,0.0,0.0,0.0,0.0,0.0
tsandmann_ct-sim,Zero-Shot,8,0.875,0.875,0.875,0.875,0.875
tsandmann_ct-sim,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
tsandmann_ct-sim,Few-Shot,8,0.75,0.75,0.75,0.75,0.75
tsjensen_sercoll,CIMig,2,0.0,0.0,0.0,0.0,0.0
tsjensen_sercoll,Zero-Shot,8,0.625,0.625,0.625,0.625,0.625
tsjensen_sercoll,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
tsjensen_sercoll,Few-Shot,8,0.625,0.625,0.625,0.625,0.625
typetools_guava,CIMig,2,0.0,0.0,0.0,0.0,0.0
typetools_guava,Zero-Shot,8,0.625,0.75,0.5,0.75,0.5
typetools_guava,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
typetools_guava,Few-Shot,8,0.5625,0.625,0.5,0.625,0.5
utarwyn_SuperJukebox,CIMig,2,0.0,0.0,0.0,0.0,0.0
utarwyn_SuperJukebox,Zero-Shot,8,0.5625,0.625,0.5,0.625,0.5
utarwyn_SuperJukebox,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
utarwyn_SuperJukebox,Few-Shot,8,0.5,0.5,0.5,0.5,0.5
uw-loci_misc-plugins,CIMig,2,0.0,0.0,0.0,0.0,0.0
uw-loci_misc-plugins,Zero-Shot,8,0.5625,0.75,0.375,0.75,0.375
uw-loci_misc-plugins,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
uw-loci_misc-plugins,Few-Shot,8,0.5625,0.625,0.5,0.625,0.5
vert-x3_vertx-bridge-common,CIMig,2,0.0,0.0,0.0,0.0,0.0
vert-x3_vertx-bridge-common,Zero-Shot,8,0.625,0.875,0.375,0.875,0.375
vert-x3_vertx-bridge-common,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
vert-x3_vertx-bridge-common,Few-Shot,8,0.375,0.5,0.25,0.5,0.25
vert-x3_vertx-starter,CIMig,2,0.5,0.5,0.5,0.5,0.5
vert-x3_vertx-web,CIMig,2,0.0,0.0,0.0,0.0,0.0
vert-x3_vertx-web,Zero-Shot,8,0.5,0.75,0.25,0.75,0.25
vert-x3_vertx-web,Fine-Tuned,2,0.75,1.0,0.5,1.0,0.5
vert-x3_vertx-web,Few-Shot,8,0.5,0.625,0.375,0.625,0.375
vlingo_xoom-turbo,CIMig,2,0.0,0.0,0.0,0.0,0.0
vlingo_xoom-turbo,Zero-Shot,8,0.4375,0.5,0.375,0.5,0.375
vlingo_xoom-turbo,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
vlingo_xoom-turbo,Few-Shot,8,0.5625,0.75,0.375,0.75,0.375
wcm-io-devops_conga-sling-plugin,CIMig,2,0.0,0.0,0.0,0.0,0.0
wcm-io-devops_conga-sling-plugin,Zero-Shot,8,0.625,0.625,0.625,0.625,0.625
wcm-io-devops_conga-sling-plugin,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
wcm-io-devops_conga-sling-plugin,Few-Shot,8,0.6875,0.75,0.625,0.75,0.625
wcm-io-devops_maven-nodejs-proxy,CIMig,2,0.0,0.0,0.0,0.0,0.0
wte4j_wte4j,CIMig,2,0.0,0.0,0.0,0.0,0.0
wte4j_wte4j,Zero-Shot,8,0.625,0.625,0.625,0.625,0.625
wte4j_wte4j,Fine-Tuned,2,0.5,0.5,0.5,0.5,0.5
wte4j_wte4j,Few-Shot,8,0.75,0.75,0.75,0.75,0.75
xenit-eu_alfresco-docker-gradle-plugin,CIMig,2,0.0,0.0,0.0,0.0,0.0
xenit-eu_alfresco-docker-gradle-plugin,Zero-Shot,8,0.5,0.625,0.375,0.625,0.375
xenit-eu_alfresco-docker-gradle-plugin,Fine-Tuned,2,0.75,1.0,0.5,1.0,0.5
xenit-eu_alfresco-docker-gradle-plugin,Few-Shot,8,0.5,0.625,0.375,0.625,0.375
xerial_sqlite-jdbc,CIMig,2,0.0,0.0,0.0,0.0,0.0
xerial_sqlite-jdbc,Zero-Shot,8,0.75,0.75,0.75,0.75,0.75
xerial_sqlite-jdbc,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
xerial_sqlite-jdbc,Few-Shot,8,0.8125,0.875,0.75,0.875,0.75
xuxueli_xxl-job,CIMig,2,0.0,0.0,0.0,0.0,0.0
xuxueli_xxl-job,Zero-Shot,8,0.6875,0.75,0.625,0.75,0.625
xuxueli_xxl-job,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
xuxueli_xxl-job,Few-Shot,8,0.75,0.75,0.75,0.75,0.75
xvik_dropwizard-orient-server,CIMig,2,0.0,0.0,0.0,0.0,0.0
xvik_yaml-updater,CIMig,2,0.25,0.5,0.0,0.5,0.0
yuxuanchiadm_SkyCraftUpdater,CIMig,2,0.0,0.0,0.0,0.0,0.0
yuxuanchiadm_SkyCraftUpdater,Zero-Shot,8,0.625,0.625,0.625,0.625,0.625
yuxuanchiadm_SkyCraftUpdater,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
yuxuanchiadm_SkyCraftUpdater,Few-Shot,8,0.625,0.625,0.625,0.625,0.625
zhanhb_thymeleaf-layout-dialect,CIMig,2,0.0,0.0,0.0,0.0,0.0
