direction,model,setting,metric,llm_rate,cimig_rate,improvement_pct,z_stat,p_value,cohen_h,effect_size,bonferroni_alpha,rq,bonferroni_significant
travis_to_gha,gemma3_12b,Zero-Shot,yaml_validity,0.9869,0.0558,1668.6379928315412,18.35721408379605,1.4453052936726256e-75,2.435231129398033,large,0.001388888888888889,RQ3,True
travis_to_gha,gemma3_12b,Zero-Shot,ci_lint,0.5882,0.0,inf,13.684267472652595,6.3035616363947165e-43,1.7481242179796561,large,0.001388888888888889,RQ3,True
travis_to_gha,gpt-4o,Zero-Shot,yaml_validity,0.9935,0.0558,1680.4659498207886,18.58183952892417,2.2539252891950303e-77,2.5032239993685574,large,0.001388888888888889,RQ3,True
travis_to_gha,gpt-4o,Zero-Shot,ci_lint,0.8824,0.0,inf,18.23780517829402,1.293185627836445e-74,2.441527170065361,large,0.001388888888888889,RQ3,True
travis_to_gha,llama3_1_8b,Zero-Shot,yaml_validity,0.281,0.0558,403.58422939068095,6.171685074292258,3.378298969519954e-10,0.6404753142777255,medium,0.001388888888888889,RQ3,True
travis_to_gha,llama3_1_8b,Zero-Shot,ci_lint,0.1438,0.0,inf,6.178193224479872,3.241966512317252e-10,0.7778841205678639,medium,0.001388888888888889,RQ3,True
travis_to_gha,mistral_7b,Zero-Shot,yaml_validity,0.5294,0.0558,848.7455197132615,10.777979478820821,2.1869380786667414e-27,1.1526819584594972,large,0.001388888888888889,RQ3,True
travis_to_gha,mistral_7b,Zero-Shot,ci_lint,0.1373,0.0,inf,6.028261568777211,8.286633505972451e-10,0.759180991639916,medium,0.001388888888888889,RQ3,True
travis_to_gha,gemma3_12b,Few-Shot,yaml_validity,0.915,0.0558,1539.784946236559,17.139456655201197,3.7675749359672805e-66,2.0729557070904425,large,0.001388888888888889,RQ3,True
travis_to_gha,gemma3_12b,Few-Shot,ci_lint,0.5817,0.0,inf,13.684267472652595,6.3035616363947165e-43,1.7349323224052524,large,0.001388888888888889,RQ3,True
travis_to_gha,gpt-4o,Few-Shot,yaml_validity,0.9935,0.0558,1680.4659498207886,18.58183952892417,2.2539252891950303e-77,2.5032239993685574,large,0.001388888888888889,RQ3,True
travis_to_gha,gpt-4o,Few-Shot,ci_lint,0.9085,0.0,inf,18.64516757812932,6.911029328000769e-78,2.5269854307126702,large,0.001388888888888889,RQ3,True
travis_to_gha,llama3_1_8b,Few-Shot,yaml_validity,0.0196,0.0558,-64.87455197132617,-2.134892936543544,0.9836151217831105,-0.19602547465309544,negligible,0.001388888888888889,RQ3,False
travis_to_gha,llama3_1_8b,Few-Shot,ci_lint,0.0131,0.0,inf,1.8158660089165812,0.034695464298606815,0.2294132201189535,small,0.001388888888888889,RQ3,False
travis_to_gha,mistral_7b,Few-Shot,yaml_validity,0.8627,0.0558,1446.057347670251,16.269116092589236,8.17504471146833e-60,1.9054633578770699,large,0.001388888888888889,RQ3,True
travis_to_gha,mistral_7b,Few-Shot,ci_lint,0.4248,0.0,inf,11.169464608413445,2.876328600261144e-29,1.419823464199773,large,0.001388888888888889,RQ3,True
travis_to_gha,gemma3_12b,Fine-Tuned,yaml_validity,1.0,0.0558,1692.1146953405018,18.609435700071998,1.3472012860996743e-77,2.664644349516986,large,0.001388888888888889,RQ3,True
travis_to_gha,gemma3_12b,Fine-Tuned,ci_lint,0.8933,0.0,inf,18.24827600389768,1.0677123749306043e-74,2.476079442627822,large,0.001388888888888889,RQ3,True
gha_to_travis,gemma3_12b,Zero-Shot,yaml_validity,0.7778,0.0598,1200.6688963210704,14.868720454429393,2.630461230250239e-50,1.6657894339192434,large,0.001388888888888889,RQ3,True
gha_to_travis,gemma3_12b,Zero-Shot,ci_lint,0.7778,0.0598,1200.6688963210704,14.868720454429393,2.630461230250239e-50,1.6657894339192434,large,0.001388888888888889,RQ3,True
gha_to_travis,gpt-4o,Zero-Shot,yaml_validity,0.9477,0.0598,1484.7826086956522,17.59026348949764,1.4625717449388987e-69,2.18603374956504,large,0.001388888888888889,RQ3,True
gha_to_travis,gpt-4o,Zero-Shot,ci_lint,0.9477,0.0598,1484.7826086956522,17.59026348949764,1.4625717449388987e-69,2.18603374956504,large,0.001388888888888889,RQ3,True
gha_to_travis,llama3_1_8b,Zero-Shot,yaml_validity,0.2418,0.0598,304.3478260869565,5.152998224261076,1.2817719674813006e-07,0.5340633152563544,medium,0.001388888888888889,RQ3,True
gha_to_travis,llama3_1_8b,Zero-Shot,ci_lint,0.2418,0.0598,304.3478260869565,5.152998224261076,1.2817719674813006e-07,0.5340633152563544,medium,0.001388888888888889,RQ3,True
gha_to_travis,mistral_7b,Zero-Shot,yaml_validity,0.6013,0.0598,905.5183946488294,11.85698650330321,9.8986370632466e-33,1.2807172673731362,large,0.001388888888888889,RQ3,True
gha_to_travis,mistral_7b,Zero-Shot,ci_lint,0.6013,0.0598,905.5183946488294,11.85698650330321,9.8986370632466e-33,1.2807172673731362,large,0.001388888888888889,RQ3,True
gha_to_travis,gemma3_12b,Few-Shot,yaml_validity,0.7647,0.0598,1178.7625418060202,14.546754222982017,3.0620287330875504e-48,1.6345981830230154,large,0.001388888888888889,RQ3,True
gha_to_travis,gemma3_12b,Few-Shot,ci_lint,0.7647,0.0598,1178.7625418060202,14.546754222982017,3.0620287330875504e-48,1.6345981830230154,large,0.001388888888888889,RQ3,True
gha_to_travis,gpt-4o,Few-Shot,yaml_validity,0.9608,0.0598,1506.6889632107025,17.924378988049952,3.804774426891952e-72,2.2488877418502304,large,0.001388888888888889,RQ3,True
gha_to_travis,gpt-4o,Few-Shot,ci_lint,0.9608,0.0598,1506.6889632107025,17.924378988049952,3.804774426891952e-72,2.2488877418502304,large,0.001388888888888889,RQ3,True
gha_to_travis,llama3_1_8b,Few-Shot,yaml_validity,0.0065,0.0598,-89.1304347826087,-3.0815581405421044,0.9989703987100513,-0.3326709661464451,small,0.001388888888888889,RQ3,False
gha_to_travis,llama3_1_8b,Few-Shot,ci_lint,0.0065,0.0598,-89.1304347826087,-3.0815581405421044,0.9989703987100513,-0.3326709661464451,small,0.001388888888888889,RQ3,False
gha_to_travis,mistral_7b,Few-Shot,yaml_validity,0.6993,0.0598,1069.397993311037,13.474883739586806,1.0991567529282215e-41,1.4866948395786204,large,0.001388888888888889,RQ3,True
gha_to_travis,mistral_7b,Few-Shot,ci_lint,0.6993,0.0598,1069.397993311037,13.474883739586806,1.0991567529282215e-41,1.4866948395786204,large,0.001388888888888889,RQ3,True
gha_to_travis,gemma3_12b,Fine-Tuned,yaml_validity,0.9733,0.0598,1527.5919732441473,17.945199898949955,2.616098900031329e-72,2.31922661662244,large,0.001388888888888889,RQ3,True
gha_to_travis,gemma3_12b,Fine-Tuned,ci_lint,0.9733,0.0598,1527.5919732441473,17.945199898949955,2.616098900031329e-72,2.31922661662244,large,0.001388888888888889,RQ3,True
